id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
700000,2022-09-17 12:07:44,台湾,5891355,0,13742,10469,0,0,,,,41607,,0,46,,41561
810000,2022-09-17 12:07:45,香港,405061,0,80219,9852,0,0,,,,1008,,391,16,,601
420000,2022-09-17 00:00:03,湖北,68427,0,63912,4512,0,0,,,,0,,0,0,,0
310000,2022-09-17 08:04:29,上海,63986,0,63317,595,0,0,,,,9,,162,0,,-153
220000,2022-09-17 07:54:32,吉林,40329,0,40170,5,0,0,,,,0,,0,0,,0
440000,2022-09-17 09:06:32,广东,9762,0,9254,8,0,0,,,,18,,54,0,,-36
460000,2022-09-17 12:07:44,海南,8946,0,8375,6,0,0,,,,2,,52,0,,-50
510000,2022-09-17 09:59:36,四川,5154,0,3819,3,0,0,,,,36,,75,0,,-39
350000,2022-09-17 13:20:46,福建,4239,0,4112,1,0,0,,,,12,,6,0,,6
110000,2022-09-17 08:23:31,北京,4153,0,4005,9,0,0,3559.0,0.0,3420.0,7,,3,0,,4
610000,2022-09-17 11:20:42,陕西,3720,0,3666,3,0,0,,,,1,,1,0,,0
330000,2022-09-17 10:30:38,浙江,3394,0,3386,1,0,0,,,,0,,5,0,,-5
410000,2022-09-17 09:00:33,河南,3317,0,3271,22,0,0,,,,0,,2,0,,-2
230000,2022-09-17 08:50:32,黑龙江,3241,0,3174,13,0,0,,,,3,,16,0,,-13
370000,2022-09-17 12:07:45,山东,3070,0,2954,7,0,0,,,,2,,7,0,,-5
150000,2022-09-17 12:24:48,内蒙古,2740,0,2448,1,0,0,,,,5,,18,0,,-13
320000,2022-09-17 12:07:44,江苏,2374,0,2359,0,0,0,,,,3,,1,0,,2
530000,2022-09-17 13:32:49,云南,2338,0,2293,2,0,0,,,,6,,3,0,,3
450000,2022-09-17 09:00:33,广西,2325,0,2254,2,0,0,,,,4,,1,0,,3
120000,2022-09-17 10:41:38,天津,2290,0,2212,3,0,0,,,,7,,6,0,,1
130000,2022-09-17 08:39:33,河北,2027,0,2014,7,0,0,,,,0,,1,0,,-1
210000,2022-09-17 08:50:33,辽宁,1882,0,1814,2,0,0,,,,2,,1,0,,1
340000,2022-09-17 00:00:02,安徽,1506,0,1500,6,0,0,,,,0,,0,0,,0
360000,2022-09-17 07:54:32,江西,1495,0,1479,1,0,0,,,,0,,0,0,,0
430000,2022-09-17 12:24:48,湖南,1450,0,1433,4,0,0,,,,1,,1,0,,0
620000,2022-09-17 00:00:02,甘肃,1350,0,1345,2,0,0,,,,0,,0,0,,0
540000,2022-09-17 09:44:36,西藏,1248,0,894,0,0,0,,,,10,,25,0,,-15
650000,2022-09-17 11:08:39,新疆,1166,0,1151,3,0,0,,,,1,,3,0,,-2
500000,2022-09-17 08:23:31,重庆,1024,0,997,6,0,0,,,,3,,0,0,,3
820000,2022-09-17 00:00:02,澳门,793,0,787,6,0,0,,,,0,,0,0,,0
140000,2022-09-17 08:25:30,山西,469,0,462,0,0,0,,,,0,,2,0,,-2
520000,2022-09-17 10:53:40,贵州,247,0,198,2,0,0,,,,8,,3,0,,5
630000,2022-09-17 11:08:39,青海,233,0,212,0,0,0,,,,0,,1,0,,-1
640000,2022-09-17 00:00:02,宁夏,122,0,122,0,0,0,,,,0,,0,0,,0
